"group","metabolite"
1,"ATP2C2"
1,"ATP2B2"
1,"KCNQ2"
1,"DHRS9"
1,"GALNT18"
1,"PLCD4"
1,"GPIHBP1"
1,"SLC9A3"
1,"UPP1"
1,"PLA2G4D"
1,"INPP5D"
1,"IL1B"
1,"PC"
1,"NAGS"
1,"HKDC1"
1,"KCNN1"
1,"ALDOC"
1,"GLYCTK"
1,"ABCB1"
1,"HAS3"
1,"GPX2"
1,"SLC38A4"
1,"ATP6V0B"
1,"EDN2"
1,"ATP1B2"
1,"SLC2A6"
1,"IDS"
1,"SRXN1"
1,"ALOXE3"
1,"TRPV4"
1,"ALDOA"
1,"FADS2"
1,"EGLN1"
1,"ASL"
1,"SREBF2"
1,"CACNA1H"
1,"NEU2"
1,"CES2"
1,"TNF"
1,"CYP4F2"
1,"SCNN1D"
1,"PRODH"
1,"PIGV"
1,"OGFOD2"
1,"SLC47A2"
1,"PIK3CG"
1,"EGLN2"
1,"SLC4A2"
1,"ARNT2"
1,"SLC43A3"
1,"SCN2B"
1,"ADCY7"
1,"NPC1L1"
1,"SLC34A3"
1,"TRPM5"
1,"CHPF2"
1,"HK1"
1,"CYP4F22"
1,"CYP51A1"
1,"PLIN4"
1,"SLC5A10"
1,"PLA2G4F"
1,"SLC30A10"
1,"SCD"
1,"BEST4"
1,"SLC47A1"
1,"QSOX1"
1,"AMDHD2"
1,"SLC22A18"
1,"NUDT22"
1,"ELOVL1"
1,"ACAA1"
1,"KCNJ12"
1,"MDH2"
1,"ALOX12B"
1,"ALOX12"
1,"PLIN3"
1,"FDPS"
1,"SLC39A1"
1,"SLC17A9"
1,"KCNQ1"
1,"ABCB8"
1,"TRPV2"
1,"POR"
1,"DGKG"
1,"CYP27B1"
1,"AMPD3"
1,"CYBA"
1,"AGPAT1"
1,"PDXP"
1,"DPM3"
1,"PPARD"
1,"B3GNT8"
1,"SLC39A12"
1,"ATP1A3"
1,"INPP5E"
1,"SLC4A3"
1,"SDR9C7"
1,"ITPR3"
1,"ABCF1"
1,"KCNC4"
1,"SREBF1"
1,"SLC29A4"
1,"OASL"
1,"TPCN2"
1,"CLCN7"
1,"NDUFS7"
1,"DHRS13"
1,"TTYH3"
1,"UAP1L1"
1,"DGKD"
1,"AKR1B10"
1,"RDH16"
1,"GYS1"
1,"SLC6A12"
1,"CHST7"
1,"SLC15A3"
1,"OAS3"
1,"ATP10A"
1,"PLA2G4E"
1,"CACNA1B"
2,"PSPH"
2,"P4HA1"
2,"KDM3A"
2,"PDK1"
2,"PGK1"
2,"HILPDA"
2,"HSD17B11"
2,"IAH1"
2,"SLC6A8"
2,"FUT11"
2,"LOXL2"
2,"LDHA"
2,"PFKP"
2,"GBE1"
2,"TMCO3"
2,"IDI1"
2,"ENO2"
2,"LSS"
2,"ASPH"
2,"PFKFB3"
2,"HK2"
2,"MAOA"
2,"ST3GAL5"
2,"HAS2"
2,"PGAM1"
2,"SQLE"
2,"COQ5"
2,"SLC2A1"
2,"SLC5A3"
2,"PGM2L1"
2,"MDH1B"
2,"INSIG1"
2,"PTGS1"
2,"GLT8D2"
2,"CRYZ"
2,"ULK1"
2,"CMBL"
2,"LOX"
2,"GPX8"
2,"INSIG2"
2,"ADH5"
2,"KCTD11"
2,"CA9"
2,"PLB1"
2,"SLC2A8"
2,"SC5D"
2,"MTAP"
2,"PLOD3"
2,"TPI1"
2,"COX6B2"
2,"PGM2"
2,"INPP4B"
2,"HNMT"
2,"NT5DC2"
2,"MSMO1"
2,"CA12"
2,"MAT2B"
2,"STARD4"
2,"PLCH2"
2,"PTGES"
2,"FDFT1"
2,"GALNT5"
2,"ECI2"
2,"KCTD12"
2,"UQCRFS1"
2,"TRPA1"
2,"TET1"
2,"NMNAT1"
2,"SDHB"
2,"GLO1"
2,"LDLR"
2,"MMADHC"
2,"SFXN3"
2,"KCTD9"
2,"SLC38A2"
2,"EGLN3"
2,"SLC26A6"
2,"SLC11A1"
2,"ENO1"
2,"SLC25A21"
2,"SCN9A"
2,"FADS1"
2,"RDH11"
2,"IMPDH1"
2,"TH"
2,"SLC29A1"
2,"CROT"
2,"SLC2A3"
2,"RRM2B"
2,"ELOVL5"
2,"GOT1"
2,"HMGCS1"
2,"CATSPER1"
2,"PLOD2"
2,"VKORC1"
2,"OSBPL8"
2,"MANEA"
2,"KCNF1"
2,"UGDH"
2,"PDK3"
2,"NUDT11"
2,"ITPR1"
2,"RPE"
2,"ACSL3"
2,"FRRS1"
2,"SLC16A1"
2,"LPGAT1"
2,"SLC6A6"
2,"PIGS"
2,"ACAT2"
2,"NT5E"
2,"SLCO4A1"
2,"DLD"
2,"CERS6"
3,"DECR1"
3,"SULF2"
3,"UQCRB"
3,"NDUFA12"
3,"LPCAT2"
3,"NDUFC2"
3,"SLC33A1"
3,"SLC35A1"
3,"NDUFAF2"
3,"KCNAB1"
3,"UGP2"
3,"ACADL"
3,"NT5DC1"
3,"MAN1A1"
3,"PIGU"
3,"ATP13A5"
3,"ALG5"
3,"UQCR11"
3,"SLCO4C1"
3,"DGUOK"
3,"MPC2"
3,"GSTO1"
3,"NDUFB9"
3,"KCTD21"
3,"HEXA"
3,"SLCO6A1"
3,"COX5A"
3,"SLC16A10"
3,"PNPO"
3,"MPC1"
3,"ACYP2"
3,"HIBCH"
3,"ALDH1A1"
3,"NDUFB3"
3,"NDUFB5"
3,"PAM"
3,"COX7A2"
3,"NUDT9"
3,"NDUFB6"
3,"PDE6D"
3,"ACAA2"
3,"ST3GAL6"
3,"COX7C"
3,"ALKBH2"
3,"SCN3B"
3,"SCP2"
3,"THNSL1"
3,"AASDHPPT"
3,"CLCN5"
3,"SAT1"
3,"COQ10B"
3,"PAPSS1"
3,"ESD"
3,"ATP13A4"
3,"NPC2"
3,"SPR"
3,"PPA2"
3,"FDX1"
3,"QDPR"
3,"DERA"
3,"ATP6V1D"
3,"ALG8"
3,"HSDL1"
3,"NDUFB1"
3,"CLIC2"
3,"GNPDA2"
3,"CYP4V2"
3,"KCTD6"
3,"LRAT"
3,"NAA20"
3,"GGPS1"
3,"ISCA1"
3,"GNPAT"
3,"MBOAT2"
3,"NDUFA9"
3,"MSRB2"
3,"SLC39A8"
3,"COX18"
3,"CYP20A1"
3,"NOX1"
3,"BDH2"
3,"SLC4A1AP"
3,"LDHB"
3,"MOXD1"
3,"ISCA2"
3,"PDE8B"
3,"COX6A1"
3,"ATP1B1"
3,"PIGX"
3,"HADHB"
3,"ECHDC1"
3,"ATP1B3"
3,"MCEE"
3,"CYP2U1"
3,"ACOT9"
3,"PTS"
3,"PDE7A"
3,"SDHD"
3,"OGFOD1"
3,"PCTP"
3,"SLC25A17"
3,"MGST2"
3,"GALNT13"
3,"ATP6AP2"
3,"PIGC"
3,"UQCR10"
3,"ATP6V1G1"
3,"CLCC1"
3,"FH"
3,"KDSR"
3,"PTGES3"
3,"ACOT6"
3,"SLC25A46"
3,"GLRX2"
3,"GBA3"
3,"CHST6"
3,"NOX4"
3,"GTDC1"
3,"PDSS2"
3,"DUT"
3,"CNEP1R1"
3,"PIK3C3"
3,"TPMT"
3,"CATSPERB"
3,"SLC30A9"
3,"PRDX6"
3,"MTHFD2L"
3,"PANK2"
3,"PI4K2B"
3,"PLCB1"
3,"COX7B2"
3,"CYP2R1"
3,"SLC26A2"
3,"NDUFA2"
3,"ACBD6"
3,"MOCS2"
3,"ITGB3"
3,"NME7"
3,"CRYZL1"
3,"DGKE"
3,"PRPSAP1"
3,"ATP8B1"
3,"SFXN4"
3,"SLC3A2"
3,"SLC35B3"
3,"HCN2"
3,"GYG2"
3,"SCCPDH"
3,"LIPT1"
3,"COX17"
3,"NDUFV3"
3,"AQP4"
3,"CACNG4"
3,"GAD1"
3,"KCNK2"
3,"ABHD13"
3,"MFSD11"
3,"KCNJ2"
3,"ME2"
3,"APOO"
3,"IL6"
3,"AMD1"
3,"PYROXD1"
3,"ABHD1"
3,"PYCR2"
3,"ENOPH1"
3,"FAHD2A"
3,"PYGL"
3,"VDAC1"
3,"GALK2"
3,"KCNJ15"
3,"PRPS2"
3,"BCKDHB"
3,"SLC25A26"
3,"ACSS3"
3,"PIGB"
3,"SLC12A5"
3,"LYPLAL1"
3,"MDH1"
3,"NPL"
3,"FMO4"
3,"NIT2"
3,"AK3"
3,"BLVRA"
3,"AUH"
3,"B3GALNT2"
3,"ABHD14A"
3,"SMS"
3,"ECHS1"
3,"PON3"
3,"SLC18B1"
3,"DAD1"
3,"SCD5"
3,"GRIN3A"
3,"NME1"
3,"ATP6V1E1"
3,"ATP6V0D2"
3,"NDUFB4"
4,"FMO2"
4,"SLC30A4"
4,"GLCE"
4,"SPTLC2"
4,"ATP2A3"
4,"TRPC6"
4,"TALDO1"
4,"KCNK12"
4,"KCNN2"
4,"ADH1C"
4,"GMDS"
4,"C3"
4,"CACNA1G"
4,"FMO3"
4,"SLC4A11"
4,"AQP5"
4,"CLIC5"
4,"SLC27A2"
4,"HS3ST3B1"
4,"ACOT13"
4,"ENOX1"
4,"SLC9A4"
4,"HGSNAT"
4,"LOXL1"
4,"DUS1L"
4,"FOLR1"
4,"SLC5A5"
4,"TRPV6"
4,"ATP6V1B1"
4,"HPSE2"
4,"LIPH"
4,"HPSE"
4,"FUT2"
4,"DHRS7B"
4,"LHPP"
4,"UCP2"
4,"RHBG"
4,"SLC9A2"
4,"SLC8B1"
4,"ALAD"
4,"GRIA3"
4,"CES1"
4,"MGLL"
4,"KCNB1"
4,"FLAD1"
4,"SLC4A5"
4,"AOC1"
4,"GCNT3"
4,"SLC39A11"
4,"SCNN1G"
4,"GAL3ST2"
4,"GABRB3"
4,"CERS4"
4,"RYR3"
4,"CYP4X1"
4,"EPHX2"
4,"PIK3C2B"
4,"CA13"
4,"CNDP1"
4,"FUT3"
4,"CLIC3"
4,"CYB5R1"
4,"SOD3"
4,"PIK3R3"
4,"MECR"
4,"COMTD1"
4,"UPP2"
4,"MGST1"
4,"ASIC1"
4,"SLC34A2"
4,"SLC5A9"
4,"GABRP"
4,"PLA2G2F"
4,"CYP4Z1"
4,"APOBR"
4,"RENBP"
4,"KCNQ4"
4,"DHRS12"
4,"SLC25A33"
4,"CYP4F12"
4,"MGAT4A"
4,"ABHD11"
4,"ELOVL3"
4,"AK8"
4,"INPP1"
4,"GDPD3"
4,"HS3ST6"
4,"SLC35C1"
4,"KCNE3"
4,"SLC39A2"
4,"DHRS11"
4,"AGPAT3"
4,"ST6GALNAC1"
4,"ACSL1"
4,"PIGQ"
4,"ATP13A1"
4,"MTHFR"
4,"ALDH3B2"
4,"TM7SF2"
4,"EPHX1"
4,"SPTLC3"
4,"MAN2B1"
4,"ST8SIA2"
4,"CNDP2"
4,"GPLD1"
4,"SGPP2"
4,"SLC6A7"
4,"SLC25A18"
4,"DHRS1"
4,"PCBD1"
4,"ARSG"
4,"SLC35B1"
4,"TXNRD3"
4,"IDUA"
4,"B3GNTL1"
4,"GALNT6"
4,"SLC40A1"
4,"FIG4"
4,"UCP3"
4,"CYP4B1"
4,"ADCY4"
4,"SLC16A11"
4,"CYP4F8"
4,"SLC20A2"
4,"STAT5A"
4,"RDH12"
4,"ASIC3"
4,"KCNK15"
4,"CYP1B1"
4,"PLA2G5"
4,"CYP2F1"
4,"P4HTM"
4,"OAS1"
4,"FN3K"
4,"GNPTG"
4,"GALNT8"
4,"GRIK5"
4,"ABO"
4,"B4GALT5"
4,"ENPP5"
4,"GATM"
4,"ABHD5"
4,"PIP5K1B"
4,"CYP2J2"
4,"SCNN1B"
4,"MMAA"
4,"SMPDL3B"
4,"SLC15A1"
4,"GABRR1"
4,"SLCO3A1"
4,"CHSY3"
4,"ACSL5"
4,"GRIA1"
4,"KCNK7"
4,"HADH"
4,"AQP6"
4,"SLC24A3"
4,"TYMP"
4,"SLC25A28"
4,"TRPM4"
4,"NADSYN1"
4,"NAGK"
4,"IDO1"
4,"GCDH"
4,"CHPT1"
4,"KCNC3"
4,"SMPD3"
4,"GSTM5"
4,"FAAH2"
4,"SLC10A1"
4,"NPR2"
4,"CHRNA3"
4,"DUOX2"
4,"IYD"
4,"EDN1"
4,"DIO1"
4,"SLC5A6"
4,"NDUFA3"
4,"KCTD20"
4,"HMGCS2"
4,"PLD6"
4,"ATP6V1C2"
4,"ATP6V0A4"
4,"GYG1"
4,"ELOVL7"
4,"PLA2G2A"
4,"PNLIPRP3"
4,"ALOX5"
4,"FUT6"
4,"CPS1"
4,"FLVCR2"
4,"CACNA1C"
4,"PIGZ"
4,"B3GNT7"
4,"CACNA2D1"
4,"BBOX1"
4,"SLC9A8"
4,"ATP6V1H"
4,"DMGDH"
4,"ACSM1"
4,"MLYCD"
4,"HSD11B2"
4,"ECHDC2"
4,"HMOX2"
4,"ABCA7"
4,"DHODH"
4,"SLC44A4"
4,"ALDH16A1"
4,"STRA6"
4,"SLC7A4"
4,"UMPS"
4,"UCK2"
4,"UGT1A6"
4,"INPP5K"
4,"GLRX"
4,"SLC27A5"
4,"CA11"
4,"RDH10"
4,"CLCN3"
4,"ENPP4"
4,"THEM5"
4,"GSTA1"
4,"SLC45A4"
4,"HSD17B2"
4,"NDST1"
4,"SLC4A8"
4,"SLC12A2"
4,"AMY2B"
4,"SLC51A"
4,"UROS"
4,"SLC39A3"
4,"HSD17B10"
4,"AQP3"
4,"PDE7B"
4,"OAS2"
4,"CYP1A1"
4,"ALDH1B1"
4,"CSGALNACT1"
4,"LPCAT3"
4,"ASPG"
4,"CRAT"
4,"MFSD9"
4,"CES5A"
4,"ADIPOR1"
4,"GABRE"
4,"SRD5A3"
4,"ABCG1"
4,"ENPP2"
4,"GLTP"
4,"PPCDC"
4,"LOXL4"
4,"ST8SIA1"
4,"ATP10B"
4,"GRIN1"
4,"CYP26A1"
4,"RYR2"
4,"ABCA12"
4,"ALDH2"
4,"ABHD8"
4,"PGD"
4,"MMEL1"
4,"KCTD13"
4,"SLC38A7"
4,"ABCD1"
4,"COQ4"
4,"ACE2"
4,"MOGAT2"
4,"CACNB3"
